CREATED_DATE	ORDER_ID	PERFORMER	CATEGORY	DURATION	QUALITY	DELIVERY_TIME	ORDER_STATE	UPLOAD_VIDEO	Performer_TOTAL	C4U_commission	Gross_Total	created_at	updated_at
Fri, 01/11/2013 - 05:28	3280	Brookie Little	Upskirt	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$218.33	$76.00	$295.00		
Thu, 31/10/2013 - 23:53	3276	Goddess Celine	Jerk Off Instruction	15 minutes	High Definition	Express (up to 3 days)	Completed	Not Uploaded	$85.00	$30.00	$115.00		
Thu, 31/10/2013 - 23:31	3275	Kacie James	Flirt	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$100.00	$35.00	$135.00		
Thu, 31/10/2013 - 21:58	3273	Adele Taylor	Jerk Off Instruction	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$157.70	$55.00	$213.00		
Thu, 31/10/2013 - 21:09	3272	Kitty Lea	Leather / Latex / PVC	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$225.00	$79.00	$304.00		
Thu, 31/10/2013 - 17:13	3268	Danielle Anderson	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Thu, 31/10/2013 - 14:06	3262	Charley Atwell	Cuckolding	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Thu, 31/10/2013 - 13:56	3261	Paige Green	Goddess Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$60.00	$21.00	$81.00		
Thu, 31/10/2013 - 08:50	3256	Mikaela Witt	Financial Domination	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$285.00	$100.00	$385.00		
Thu, 31/10/2013 - 02:22	3252	Bex Shiner	Jerk Off Instruction	5 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$42.50	$15.00	$57.00		
Thu, 31/10/2013 - 00:42	3247	Brook Logan	Humiliation	15 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$115.00	$40.00	$155.00		
Wed, 30/10/2013 - 23:45	3245	Georgie Serino	Glamour / Implied Nude	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$16.59	$6.00	$22.00		
Wed, 30/10/2013 - 22:55	3241	Tammy Taylor	Full Frontal Nude		Standard Definition	Standard (14 days)	Completed	Not Uploaded	$16.59	$6.00	$22.00		
Wed, 30/10/2013 - 22:56	3242	Miss Ellechemy	Goddess Worship	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$200.00	$70.00	$270.00		
Wed, 30/10/2013 - 16:28	3230	Amy Lu	Full Frontal Nude	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Wed, 30/10/2013 - 00:46	3215	Brie Taylor	Jerk Off Instruction	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$20.00	$7.00	$27.00		
Tue, 29/10/2013 - 22:32	3211	Caty Cole	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$110.59	$39.00	$149.00		
Tue, 29/10/2013 - 20:32	3207	Tiffany Chambers	Tit Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$158.33	$55.00	$214.00		
Tue, 29/10/2013 - 00:56	3176	Ella Jolie	Flirt	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Tue, 29/10/2013 - 00:39	3174	Lori Buckby	Flirt	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$22.22	$8.00	$30.00		
Mon, 28/10/2013 - 23:13	3171	Princess Ellie	Jerk Off Instruction	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Mon, 28/10/2013 - 21:44	3168	Misha	Ass Worship	10 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$25.00	$9.00	$34.00		
Mon, 28/10/2013 - 15:31	3158	Gemma Hiles	Leather / Latex / PVC	15 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$296.16	$104.00	$400.00		
Mon, 28/10/2013 - 10:14	3144	Abbey Barnsley	Upskirt	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Mon, 28/10/2013 - 03:19	3134	Tammy Taylor	Foot Worship	5 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$102.40	$36.00	$138.00		
Mon, 28/10/2013 - 02:49	3133	Amy Lu	Foot Worship	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Mon, 28/10/2013 - 01:58	3132	Brie Taylor	Masturbation	15 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 27/10/2013 - 22:14	3124	Tammy Taylor	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$165.87	$58.00	$224.00		
Sun, 20/10/2013 - 04:20	2694	Tiffany Tyler	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$14.81	$5.00	$20.00		
Sun, 27/10/2013 - 13:22	3107	Kitty Lea	Glamour / Implied Nude	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$380.00	$133.00	$513.00		
Sun, 27/10/2013 - 01:55	3075	Gemma Jane	Foot Worship	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$215.87	$76.00	$291.00		
Sun, 27/10/2013 - 01:00	3072	Princess Portia	Humiliation	10 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$115.00	$40.00	$155.00		
Sat, 26/10/2013 - 19:30	3035	Misha	Jerk Off Instruction	10 minutes	High Definition	Next Day (up to 24 hours)	Completed	Uploaded	$21.00	$7.00	$28.00		
Sat, 26/10/2013 - 18:23	3034	Princess Ellie	Foot Worship	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$110.00	$39.00	$149.00		
Sat, 26/10/2013 - 09:49	3020	Cara Steel	Foot Worship	5 minutes	High Definition	Premium (7 days)	Completed	Not Uploaded	$160.59	$56.00	$217.00		
Sat, 26/10/2013 - 01:42	3012	Tammy Taylor	Full Frontal Nude	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$132.70	$46.00	$179.00		
Fri, 25/10/2013 - 20:06	2993	Paige Green	Goddess Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$120.00	$42.00	$162.00		
Fri, 25/10/2013 - 19:57	2992	Caty Cole	Ass Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$221.16	$77.00	$299.00		
Fri, 25/10/2013 - 12:11	2985	Goddess Alexis	Femdom POV	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$70.00	$25.00	$95.00		
Thu, 24/10/2013 - 23:49	2973	Paige Turnah	Full Frontal Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Thu, 24/10/2013 - 18:33	2961	Nikki Lee	Foot Worship	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Not Uploaded	$90.00	$32.00	$122.00		
Thu, 24/10/2013 - 17:11	2956	Cara Steel	Leather / Latex / PVC	10 minutes	High Definition	Premium (7 days)	Completed	Not Uploaded	$215.87	$76.00	$291.00		
Thu, 24/10/2013 - 16:24	2952	Goddess Jennifer	Ass Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$25.00	$9.00	$34.00		
Thu, 24/10/2013 - 16:14	2950	Lindsey Leigh	Goddess Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.00	$4.00	$14.00		
Thu, 24/10/2013 - 10:36	2944	Jenna Hoskins	Jerk Off Instruction	15 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Not Uploaded	$130.00	$46.00	$176.00		
Thu, 24/10/2013 - 10:14	2943	Paige Turnah	Jerk Off Instruction	30 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$221.16	$77.00	$299.00		
Wed, 23/10/2013 - 21:05	2921	Charl Minaj	Masturbation	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$20.00	$7.00	$27.00		
Wed, 23/10/2013 - 20:50	2919	Bianca	Tit Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Wed, 23/10/2013 - 18:26	2911	Sarah	Pantyhose / Stockings	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Wed, 23/10/2013 - 15:02	2898	Princess Ellie	Femdom POV	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Wed, 23/10/2013 - 12:44	2889	Princess Jennifer	Chastity	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Wed, 23/10/2013 - 12:26	2887	Brie Taylor	Boy-Girl	30 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Wed, 23/10/2013 - 10:56	2882	Charl Minaj	Pantyhose / Stockings	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$15.00	$5.00	$20.00		
Wed, 23/10/2013 - 01:08	2861	Kandi Kay	Full Frontal Nude	5 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$105.00	$37.00	$142.00		
Tue, 22/10/2013 - 23:13	2849	Randy Moore	Femdom POV	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$135.00	$47.00	$182.00		
Tue, 22/10/2013 - 22:23	2844	Mila Milan	Ass Worship	10 minutes	Standard Definition	Premium (up to 7 days)	Completed	Not Uploaded	$100.00	$35.00	$135.00		
Tue, 22/10/2013 - 19:20	2835	Emmi	Jerk Off Instruction	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$35.00	$12.00	$47.00		
Tue, 22/10/2013 - 19:08	2833	Tashie Jackson	Foot Slave Training	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$113.89	$40.00	$154.00		
Tue, 22/10/2013 - 18:54	2832	Sarah	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$165.87	$58.00	$224.00		
Tue, 22/10/2013 - 15:19	2823	Adele Taylor	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Tue, 22/10/2013 - 08:47	2808	Charl Minaj	Foot Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$10.00	$4.00	$14.00		
Tue, 22/10/2013 - 04:00	2801	Abbey Barnsley	Tit Worship	5 minutes	High Definition	Next Day (up to 24 hours)	Completed	Uploaded	$162.40	$57.00	$219.00		
Tue, 22/10/2013 - 03:06	2800	Brie Taylor	Jerk Off Instruction	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$20.00	$7.00	$27.00		
Mon, 21/10/2013 - 21:43	2777	Charl Minaj	Lingerie	10 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$15.00	$5.00	$20.00		
Mon, 21/10/2013 - 19:35	2769	Blondie Bennett	Tit Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
